,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
0,259.0,XCNOnyxcoin,XCN,"$110,700,203.86",$0.004714,"23,482,966,566 XCN","$14,745,979.08",-0.31%,-1.31%,-26.35%,20230319
1,71.0,MKRMaker,MKR,"$673,148,503.19",$688.55,"977,631 MKR *","$79,605,211.29",-0.68%,0.35%,-23.81%,20230319
2,303.0,TRUTrueFi,TRU,"$86,152,217.87",$0.08786,"980,611,267 TRU *","$26,125,254.28",-2.32%,-3.54%,-22.36%,20230319
3,104.0,FLRFlare,FLR,"$370,947,750.50",$0.03091,"11,999,991,148 FLR","$19,280,036.37",0.31%,3.51%,-6.35%,20230319
4,193.0,CORECore,CORE,"$135,407,750.54",$1.9862,"68,174,968 CORE","$33,783,085.23",-0.21%,1.88%,-5.77%,20230319
5,39.0,APEApeCoin,APE,"$1,582,474,032.31",$4.2933,"368,593,750 APE *","$92,718,972.79",-1.25%,1.06%,-5.13%,20230319
6,174.0,AMPAmp,AMP,"$174,323,934.32",$0.004128,"42,227,702,186 AMP","$10,799,784.08",-0.68%,0.08%,-4.68%,20230319
7,145.0,JASMYJasmyCoin,JASMY,"$239,687,910.62",$0.005039,"47,569,999,999 JASMY","$54,553,109.10",-0.50%,2.39%,-4.37%,20230319
8,169.0,ELFaelf,ELF,"$183,325,187.33",$0.3101,"591,214,621 ELF *","$13,057,884.55",-0.15%,-0.14%,-3.69%,20230319
9,75.0,FXSFrax Share,FXS,"$628,845,104.39",$8.4279,"74,614,253 FXS *","$41,025,786.75",-1.22%,-2.08%,-2.90%,20230319
10,91.0,KAVAKava,KAVA,"$444,555,951.27",$0.9924,"447,968,541 KAVA *","$20,143,394.58",-0.96%,0.69%,-0.64%,20230319
11,444.0,YFIIDFI.Money,YFII,"$44,363,470.14","$1,149.43","38,596 YFII *","$10,578,107.66",-0.78%,1.36%,-0.63%,20230319
12,32.0,TUSDTrueUSD,TUSD,"$2,027,694,619.38",$0.999,"2,029,769,378 TUSD *","$32,437,820.69",-0.10%,0.02%,-0.58%,20230319
13,170.0,BNXBinaryX,BNX,"$181,152,708.85",$0.6266,"289,119,100 BNX *","$16,618,087.80",-0.73%,1.63%,-0.44%,20230319
14,3.0,USDTTether,USDT,"$76,450,055,219.47",$1.0030,"76,220,833,431 USDT *","$44,405,090,364.52",0.02%,0.07%,-0.41%,20230319
15,225.0,EDGTEdgecoin,EDGT,"$210,465,718.40",$1.0022,"210,000,000 EDGT","$22,127,771.65",-0.09%,-0.02%,-0.38%,20230319
16,11.0,BUSDBinance USD,BUSD,"$8,224,891,924.01",$0.9999,"8,224,923,986 BUSD *","$6,634,035,727.24",0.02%,0.05%,-0.35%,20230319
17,511.0,vUSDTVenus USDT,vUSDT,"$32,993,297.73",$0.0222,"1,486,153,169 vUSDT *","$163,729,291.27",0.01%,0.05%,-0.34%,20230319
18,374.0,vBUSDVenus BUSD,vBUSD,"$59,206,355.62",$0.02197,"2,694,770,470 vBUSD *","$57,901,523.25",0.02%,0.05%,-0.27%,20230319
19,98.0,SSVssv.network,SSV,"$394,216,804.80",$39.42,"10,000,000 SSV","$40,552,406.85",0.15%,5.45%,0.00%,20230319
20,242.0,RIFRSK Infrastructure Framework,RIF,"$110,512,583.51",$0.1159,"953,380,002 RIF *","$10,877,349.20",8.99%,20.58%,-33.45%,20230312
21,184.0,CORECore,CORE,"$138,947,631.27",$2.1077,"65,923,224 CORE","$47,743,147.52",1.10%,5.52%,-26.92%,20230312
22,148.0,BLURBlur,BLUR,"$217,720,758.34",$0.5351,"406,895,528 BLUR *","$119,449,022.95",3.43%,10.59%,-24.21%,20230312
23,315.0,DODODODO,DODO,"$71,581,674.83",$0.1573,"455,059,176 DODO *","$17,255,046.32",2.27%,8.05%,-22.73%,20230312
24,180.0,XCNOnyxcoin,XCN,"$150,315,006.02",$0.006401,"23,482,966,566 XCN","$12,963,442.42",2.44%,6.47%,-21.14%,20230312
25,398.0,KEYSelfKey,KEY,"$46,475,519.86",$0.008761,"5,304,969,446 KEY *","$46,283,544.21",5.25%,18.50%,-19.96%,20230312
26,634.0,AKROAkropolis,AKRO,"$19,208,069.72",$0.004533,"4,236,987,023 AKRO *","$11,084,903.54",-0.16%,4.81%,-19.78%,20230312
27,266.0,RENRen,REN,"$92,360,230.95",$0.09245,"999,037,500 REN *","$36,974,460.60",2.74%,18.39%,-19.72%,20230312
28,414.0,GFTGifto,GFT,"$46,568,304.67",$0.0466,"999,271,532 GFT *","$12,666,903.97",1.13%,9.33%,-19.03%,20230312
29,112.0,YFIyearn.finance,YFI,"$302,673,474.50","$8,261.25","36,638 YFI *","$81,597,270.76",6.18%,9.37%,-19.01%,20230312
30,84.0,AGIXSingularityNET,AGIX,"$456,731,855.64",$0.3789,"1,205,321,857 AGIX *","$169,007,723.83",5.98%,20.26%,-18.65%,20230312
31,74.0,DASHDash,DASH,"$594,300,576.81",$53.44,"11,120,725 DASH","$117,463,299.56",4.39%,14.57%,-18.06%,20230312
32,213.0,WEMIXWEMIX,WEMIX,"$405,463,739.08",$1.6593,"244,352,647 WEMIX *","$14,167,669.60",3.65%,5.68%,-17.53%,20230312
