,Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d,dt
0,46.0,CFXConflux,CFX,"$1,214,826,047.58",$0.4574,"2,655,695,865 CFX","$1,133,365,669.18",-2.37%,21.57%,146.56%,20230319
1,90.0,MASKMask Network,MASK,"$456,722,680.28",$5.9977,"76,150,000 MASK *","$413,496,168.39",-0.48%,1.10%,93.64%,20230319
2,114.0,OMGOMG Network,OMG,"$322,556,762.72",$2.2999,"140,245,398 OMG *","$752,670,043.59",2.24%,58.17%,68.99%,20230319
3,177.0,RIFRSK Infrastructure Framework,RIF,"$174,174,082.23",$0.1827,"953,380,002 RIF *","$13,868,837.65",0.50%,6.68%,57.61%,20230319
4,251.0,JOEJOE,JOE,"$113,345,547.80",$0.3369,"336,436,965 JOE *","$116,041,284.89",-0.95%,-3.59%,56.44%,20230319
5,44.0,IMXImmutable,IMX,"$1,267,153,063.09",$1.4589,"868,583,515 IMX *","$101,137,973.68",-1.30%,-1.70%,55.94%,20230319
6,41.0,STXStacks,STX,"$1,571,374,626.32",$1.1495,"1,367,053,127 STX","$406,691,467.86",-3.61%,0.41%,53.44%,20230319
7,645.0,SOSOpenDAO,SOS,"$19,621,079.85",$0.0000002,"100,000,000,000,000 SOS","$33,484,069.41",0.20%,-2.51%,51.71%,20230319
8,390.0,LINALinear Finance,LINA,"$55,076,628.46",$0.01133,"4,862,053,446 LINA *","$132,955,803.92",-1.10%,23.83%,49.75%,20230319
9,366.0,ARPAARPA,ARPA,"$61,065,283.22",$0.04913,"1,242,888,889 ARPA *","$58,231,011.23",-1.57%,-4.59%,42.42%,20230319
10,158.0,ACHAlchemy Pay,ACH,"$209,793,604.41",$0.04128,"5,082,155,932 ACH","$132,600,796.94",-2.25%,9.20%,42.00%,20230319
11,99.0,MAGICMAGIC,MAGIC,"$386,473,437.62",$1.8207,"212,271,967 MAGIC *","$319,161,829.86",-1.92%,7.92%,41.97%,20230319
12,434.0,VELOVelo,VELO,"$46,351,264.50",$0.0093,"4,984,154,058 VELO","$13,581,172.03",-0.25%,0.89%,41.84%,20230319
13,241.0,RENRen,REN,"$125,972,190.80",$0.1261,"999,037,500 REN *","$217,538,788.09",1.97%,34.74%,36.39%,20230319
14,186.0,API3API3,API3,"$150,124,861.55",$1.8722,"80,187,931 API3 *","$170,890,638.08",-1.17%,18.88%,36.19%,20230319
15,78.0,AGIXSingularityNET,AGIX,"$621,340,298.00",$0.5155,"1,205,321,857 AGIX *","$238,828,140.01",-0.39%,2.16%,36.04%,20230319
16,121.0,GALAGala,GALA,"$323,907,944.07",$0.04642,"6,977,205,436 GALA *","$300,006,980.46",-1.54%,1.37%,33.04%,20230319
17,295.0,BNTBancor,BNT,"$89,746,615.98",$0.56,"160,248,734 BNT *","$15,460,341.51",-2.20%,3.52%,32.04%,20230319
18,221.0,GNSGains Network,GNS,"$272,190,924.45",$8.9379,"30,453,619 GNS *","$27,133,284.42",0.00%,-0.82%,31.77%,20230319
19,184.0,CELRCeler Network,CELR,"$157,199,094.50",$0.02219,"7,085,488,367 CELR *","$11,071,009.96",-1.26%,6.57%,31.66%,20230319
20,83.0,KAVAKava,KAVA,"$439,275,107.35",$0.9987,"439,826,753 KAVA *","$65,788,427.25",2.81%,12.64%,26.22%,20230312
21,188.0,HFTHashflow,HFT,"$133,883,931.07",$0.7053,"189,836,665 HFT *","$42,248,631.45",2.87%,8.44%,14.39%,20230312
22,268.0,VOLTVolt Inu V2,VOLT,"$91,194,292.56",$0.00000167,"54,766,287,142,827 VOLT *","$13,253,588.68",-0.37%,4.87%,13.67%,20230312
23,160.0,ELFaelf,ELF,"$187,206,443.55",$0.322,"581,468,164 ELF *","$74,044,545.10",2.75%,3.63%,13.38%,20230312
24,201.0,HEXHEX,HEX,"$13,530,118,850.55",$0.07802,"173,411,074,413 HEX","$19,283,356.59",0.87%,16.96%,13.25%,20230312
25,122.0,INJInjective,INJ,"$271,720,682.65",$3.7219,"73,005,554 INJ *","$84,213,862.77",6.45%,18.66%,11.28%,20230312
26,327.0,LOOMLoom Network,LOOM,"$68,924,792.19",$0.06168,"1,117,425,698 LOOM *","$13,025,717.86",1.89%,3.66%,9.87%,20230312
27,550.0,ONITONBUFF,ONIT,"$26,640,463.39",$0.03459,"770,075,466 ONIT *","$34,844,075.05",0.11%,1.46%,8.95%,20230312
28,329.0,VRAVerasity,VRA,"$69,270,837.89",$0.006697,"10,343,094,362 VRA *","$28,505,100.74",4.08%,6.04%,8.23%,20230312
29,32.0,APTAptos,APT,"$2,051,793,355.54",$11.94,"171,819,136 APT *","$485,062,313.65",3.59%,13.53%,6.86%,20230312
30,85.0,RNDRRender Token,RNDR,"$451,551,427.89",$1.2493,"361,444,954 RNDR *","$90,595,480.68",6.71%,26.79%,4.31%,20230312
31,81.0,PAXGPAX Gold,PAXG,"$520,480,889.74","$1,918.73","271,264 PAXG *","$28,057,034.27",0.06%,0.81%,3.95%,20230312
32,212.0,XAUTTether Gold,XAUT,"$467,513,724.56","$1,896.42","246,524 XAUT *","$89,846,841.48",-0.62%,1.30%,2.38%,20230312
33,8.0,MATICPolygon,MATIC,"$10,105,499,451.28",$1.1570,"8,734,317,475 MATIC *","$705,749,746.15",2.67%,8.71%,1.72%,20230312
34,6.0,XRPXRP,XRP,"$19,020,903,151.51",$0.3733,"50,950,912,949 XRP *","$1,102,164,948.07",0.92%,1.77%,1.67%,20230312
35,2.0,ETHEthereum,ETH,"$194,610,296,521.50","$1,590.29","122,373,866 ETH *","$11,480,965,121.79",0.74%,7.26%,1.65%,20230312
36,484.0,vUSDTVenus USDT,vUSDT,"$33,105,072.92",$0.02228,"1,486,153,169 vUSDT *","$66,284,729.49",-0.14%,-0.11%,0.92%,20230312
37,24.0,XMRMonero,XMR,"$2,754,252,716.89",$150.90,"18,251,601 XMR","$95,149,821.47",1.11%,6.85%,0.92%,20230312
38,203.0,stETHLido Staked ETH,stETH,"$5,472,340,379.21","$1,569.03","3,487,728 stETH *","$80,692,781.30",0.44%,6.15%,0.83%,20230312
39,111.0,BALBalancer,BAL,"$308,478,149.43",$6.3926,"48,255,511 BAL *","$10,459,245.53",1.13%,9.77%,0.82%,20230312
40,239.0,TRUTrueFi,TRU,"$117,297,268.66",$0.1197,"979,881,250 TRU *","$109,792,001.11",5.03%,11.01%,87.65%,20230305
41,160.0,LQTYLiquity,LQTY,"$201,289,487.04",$2.2113,"91,029,489 LQTY *","$121,071,335.08",-1.98%,14.92%,61.80%,20230305
42,183.0,RIFRSK Infrastructure Framework,RIF,"$164,892,738.64",$0.1742,"946,720,003 RIF *","$15,761,709.79",7.64%,17.87%,31.13%,20230305
43,719.0,PERLPERL.eco,PERL,"$14,406,906.39",$0.02935,"490,938,908 PERL *","$12,128,183.76",-0.86%,-9.23%,26.27%,20230305
44,53.0,MKRMaker,MKR,"$926,942,602.37",$948.15,"977,631 MKR *","$102,588,029.82",-1.16%,10.51%,22.26%,20230305
45,249.0,RENRen,REN,"$115,050,334.76",$0.1152,"999,037,500 REN *","$17,540,578.04",-0.54%,-0.91%,20.01%,20230305
46,201.0,HEXHEX,HEX,"$11,947,646,691.26",$0.0689,"173,411,074,413 HEX","$11,025,351.51",0.58%,4.79%,16.91%,20230305
47,62.0,SNXSynthetix,SNX,"$784,565,840.22",$3.0998,"253,100,450 SNX *","$136,437,335.03",-0.88%,7.93%,15.96%,20230305
48,79.0,AGIXSingularityNET,AGIX,"$560,905,492.13",$0.4658,"1,204,121,857 AGIX *","$146,181,087.27",0.42%,-2.05%,11.90%,20230305
49,431.0,MDTMeasurable Data Token,MDT,"$46,059,243.09",$0.06812,"676,157,013 MDT *","$21,911,400.23",2.53%,9.03%,9.67%,20230305
50,40.0,EOSEOS,EOS,"$1,323,002,732.48",$1.2236,"1,081,263,745 EOS *","$204,659,012.41",-0.12%,-0.02%,8.81%,20230305
51,55.0,IMXImmutableX,IMX,"$891,712,444.39",$1.0499,"849,352,746 IMX *","$43,339,478.48",-0.77%,6.09%,6.87%,20230305
52,457.0,ALCXAlchemix,ALCX,"$41,795,513.75",$24.47,"1,708,068 ALCX *","$23,476,789.93",1.35%,19.67%,6.01%,20230305
53,171.0,ILVIlluvium,ILV,"$179,724,029.62",$78.42,"2,291,847 ILV *","$21,084,896.30",-0.56%,0.91%,3.29%,20230305
54,98.0,YFIyearn.finance,YFI,"$373,739,781.49","$10,200.96","36,638 YFI *","$65,688,998.02",0.97%,2.00%,2.95%,20230305
55,103.0,TThreshold,T,"$351,941,002.95",$0.04035,"8,722,998,578 T *","$53,562,120.20",-0.50%,2.21%,2.21%,20230305
56,575.0,DFdForce,DF,"$25,177,552.22",$0.05828,"432,032,332 DF *","$14,416,856.22",0.29%,3.52%,1.72%,20230305
57,337.0,PERPPerpetual Protocol,PERP,"$67,448,202.09",$1.0219,"66,002,157 PERP *","$30,199,168.67",2.71%,9.53%,1.17%,20230305
58,386.0,IRISIRISnet,IRIS,"$53,203,672.41",$0.03682,"1,445,156,854 IRIS *","$38,089,702.65",-0.69%,35.40%,1.12%,20230305
59,179.0,ELFaelf,ELF,"$160,243,668.97",$0.284,"564,320,064 ELF *","$10,467,571.50",0.68%,-0.96%,0.42%,20230305
60,355.0,VELOVelo,VELO,"$69,703,006.85",$0.01398,"4,984,154,058 VELO","$35,633,123.69",2.70%,12.82%,106.96%,20230226
61,244.0,RIFRSK Infrastructure Framework,RIF,"$125,744,204.60",$0.1328,"946,720,003 RIF *","$18,193,575.97",-0.35%,0.44%,99.72%,20230226
62,257.0,DODODODO,DODO,"$118,071,828.51",$0.2666,"442,945,446 DODO *","$91,112,280.82",-0.92%,15.14%,74.53%,20230226
