,ex_name,market,ticker,quote,base_asset
0,binance,spot,ETH/BTC,ETH,BTC
1,binance,spot,LTC/BTC,LTC,BTC
2,binance,spot,BNB/BTC,BNB,BTC
3,binance,spot,NEO/BTC,NEO,BTC
4,binance,spot,QTUM/ETH,QTUM,ETH
5,binance,spot,EOS/ETH,EOS,ETH
6,binance,spot,SNT/ETH,SNT,ETH
7,binance,spot,BNT/ETH,BNT,ETH
8,binance,spot,GAS/BTC,GAS,BTC
9,binance,spot,BNB/ETH,BNB,ETH
10,binance,spot,BTC/USDT,BTC,USDT
11,binance,spot,ETH/USDT,ETH,USDT
12,binance,spot,WTC/BTC,WTC,BTC
13,binance,spot,LRC/BTC,LRC,BTC
14,binance,spot,LRC/ETH,LRC,ETH
15,binance,spot,QTUM/BTC,QTUM,BTC
16,binance,spot,OMG/BTC,OMG,BTC
17,binance,spot,OMG/ETH,OMG,ETH
18,binance,spot,ZRX/BTC,ZRX,BTC
19,binance,spot,ZRX/ETH,ZRX,ETH
20,binance,spot,KNC/BTC,KNC,BTC
21,binance,spot,KNC/ETH,KNC,ETH
22,binance,spot,FUN/ETH,FUN,ETH
23,binance,spot,SNM/BTC,SNM,BTC
24,binance,spot,NEO/ETH,NEO,ETH
25,binance,spot,IOTA/BTC,IOTA,BTC
26,binance,spot,IOTA/ETH,IOTA,ETH
27,binance,spot,LINK/BTC,LINK,BTC
28,binance,spot,LINK/ETH,LINK,ETH
29,binance,spot,XVG/ETH,XVG,ETH
30,binance,spot,MTL/BTC,MTL,BTC
31,binance,spot,MTL/ETH,MTL,ETH
32,binance,spot,EOS/BTC,EOS,BTC
33,binance,spot,SNT/BTC,SNT,BTC
34,binance,spot,ETC/ETH,ETC,ETH
35,binance,spot,ETC/BTC,ETC,BTC
36,binance,spot,ZEC/BTC,ZEC,BTC
37,binance,spot,ZEC/ETH,ZEC,ETH
38,binance,spot,BNT/BTC,BNT,BTC
39,binance,spot,AST/BTC,AST,BTC
40,binance,spot,DASH/BTC,DASH,BTC
41,binance,spot,DASH/ETH,DASH,ETH
42,binance,spot,OAX/BTC,OAX,BTC
43,binance,spot,REQ/BTC,REQ,BTC
44,binance,spot,VIB/BTC,VIB,BTC
45,binance,spot,VIB/ETH,VIB,ETH
46,binance,spot,TRX/BTC,TRX,BTC
47,binance,spot,TRX/ETH,TRX,ETH
48,binance,spot,POWR/BTC,POWR,BTC
49,binance,spot,POWR/ETH,POWR,ETH
50,binance,spot,XRP/BTC,XRP,BTC
51,binance,spot,XRP/ETH,XRP,ETH
52,binance,spot,ENJ/BTC,ENJ,BTC
53,binance,spot,ENJ/ETH,ENJ,ETH
54,binance,spot,STORJ/BTC,STORJ,BTC
55,binance,spot,BNB/USDT,BNB,USDT
56,binance,spot,KMD/BTC,KMD,BTC
57,binance,spot,NULS/BTC,NULS,BTC
58,binance,spot,XMR/BTC,XMR,BTC
59,binance,spot,XMR/ETH,XMR,ETH
60,binance,spot,AMB/BTC,AMB,BTC
61,binance,spot,BAT/BTC,BAT,BTC
62,binance,spot,BAT/ETH,BAT,ETH
63,binance,spot,NEO/USDT,NEO,USDT
64,binance,spot,NEO/BNB,NEO,BNB
65,binance,spot,LSK/BTC,LSK,BTC
