,ex_name,market,ticker,quote,base_asset
0,bybit,spot,BTC/USDT,USDT,BTC
1,bybit,spot,ETH/USDT,USDT,ETH
2,bybit,spot,XRP/USDT,USDT,XRP
3,bybit,spot,EOS/USDT,USDT,EOS
4,bybit,spot,ETH/BTC,BTC,ETH
5,bybit,spot,XRP/BTC,BTC,XRP
6,bybit,spot,DOT/USDT,USDT,DOT
7,bybit,spot,XLM/USDT,USDT,XLM
8,bybit,spot,LTC/USDT,USDT,LTC
9,bybit,spot,DOGE/USDT,USDT,DOGE
10,bybit,spot,BIT/USDT,USDT,BIT
11,bybit,spot,CHZ/USDT,USDT,CHZ
12,bybit,spot,AXS/USDT,USDT,AXS
13,bybit,spot,MANA/USDT,USDT,MANA
14,bybit,spot,DYDX/USDT,USDT,DYDX
15,bybit,spot,MKR/USDT,USDT,MKR
16,bybit,spot,COMP/USDT,USDT,COMP
17,bybit,spot,AAVE/USDT,USDT,AAVE
18,bybit,spot,YFI/USDT,USDT,YFI
19,bybit,spot,LINK/USDT,USDT,LINK
20,bybit,spot,SUSHI/USDT,USDT,SUSHI
21,bybit,spot,UNI/USDT,USDT,UNI
22,bybit,spot,KSM/USDT,USDT,KSM
23,bybit,spot,ICP/USDT,USDT,ICP
24,bybit,spot,ADA/USDT,USDT,ADA
25,bybit,spot,ETC/USDT,USDT,ETC
26,bybit,spot,KLAY/USDT,USDT,KLAY
27,bybit,spot,XTZ/USDT,USDT,XTZ
28,bybit,spot,BCH/USDT,USDT,BCH
29,bybit,spot,SRM/USDT,USDT,SRM
30,bybit,spot,QNT/USDT,USDT,QNT
31,bybit,spot,USDC/USDT,USDT,USDC
32,bybit,spot,GRT/USDT,USDT,GRT
33,bybit,spot,SOL/USDT,USDT,SOL
34,bybit,spot,FIL/USDT,USDT,FIL
35,bybit,spot,OMG/USDT,USDT,OMG
36,bybit,spot,TRIBE/USDT,USDT,TRIBE
37,bybit,spot,BAT/USDT,USDT,BAT
38,bybit,spot,ZRX/USDT,USDT,ZRX
39,bybit,spot,CRV/USDT,USDT,CRV
40,bybit,spot,AGLD/USDT,USDT,AGLD
41,bybit,spot,ANKR/USDT,USDT,ANKR
42,bybit,spot,PERP/USDT,USDT,PERP
43,bybit,spot,MATIC/USDT,USDT,MATIC
44,bybit,spot,WAVES/USDT,USDT,WAVES
45,bybit,spot,LUNC/USDT,USDT,LUNC
46,bybit,spot,SPELL/USDT,USDT,SPELL
47,bybit,spot,SHIB/USDT,USDT,SHIB
48,bybit,spot,FTM/USDT,USDT,FTM
49,bybit,spot,ATOM/USDT,USDT,ATOM
50,bybit,spot,ALGO/USDT,USDT,ALGO
51,bybit,spot,ENJ/USDT,USDT,ENJ
52,bybit,spot,CBX/USDT,USDT,CBX
53,bybit,spot,SAND/USDT,USDT,SAND
54,bybit,spot,AVAX/USDT,USDT,AVAX
55,bybit,spot,WOO/USDT,USDT,WOO
56,bybit,spot,FTT/USDT,USDT,FTT
57,bybit,spot,GODS/USDT,USDT,GODS
58,bybit,spot,IMX/USDT,USDT,IMX
59,bybit,spot,ENS/USDT,USDT,ENS
60,bybit,spot,GM/USDT,USDT,GM
61,bybit,spot,CWAR/USDT,USDT,CWAR
62,bybit,spot,CAKE/USDT,USDT,CAKE
63,bybit,spot,STETH/USDT,USDT,STETH
64,bybit,spot,GALFT/USDT,USDT,GALFT
65,bybit,spot,LFW/USDT,USDT,LFW
66,bybit,spot,SLP/USDT,USDT,SLP
67,bybit,spot,C98/USDT,USDT,C98
68,bybit,spot,PSP/USDT,USDT,PSP
69,bybit,spot,GENE/USDT,USDT,GENE
70,bybit,spot,AVA/USDT,USDT,AVA
71,bybit,spot,ONE/USDT,USDT,ONE
72,bybit,spot,PTU/USDT,USDT,PTU
73,bybit,spot,SHILL/USDT,USDT,SHILL
74,bybit,spot,XYM/USDT,USDT,XYM
75,bybit,spot,BOBA/USDT,USDT,BOBA
76,bybit,spot,INSUR/USDT,USDT,INSUR
77,bybit,spot,JASMY/USDT,USDT,JASMY
78,bybit,spot,GALA/USDT,USDT,GALA
79,bybit,spot,RNDR/USDT,USDT,RNDR
80,bybit,spot,TRVL/USDT,USDT,TRVL
81,bybit,spot,WEMIX/USDT,USDT,WEMIX
82,bybit,spot,XEM/USDT,USDT,XEM
83,bybit,spot,BICO/USDT,USDT,BICO
84,bybit,spot,CEL/USDT,USDT,CEL
85,bybit,spot,UMA/USDT,USDT,UMA
86,bybit,spot,HOT/USDT,USDT,HOT
87,bybit,spot,NEXO/USDT,USDT,NEXO
88,bybit,spot,BNT/USDT,USDT,BNT
89,bybit,spot,SNX/USDT,USDT,SNX
90,bybit,spot,REN/USDT,USDT,REN
91,bybit,spot,1INCH/USDT,USDT,1INCH
92,bybit,spot,TEL/USDT,USDT,TEL
93,bybit,spot,SIS/USDT,USDT,SIS
94,bybit,spot,LRC/USDT,USDT,LRC
95,bybit,spot,LDO/USDT,USDT,LDO
96,bybit,spot,REAL/USDT,USDT,REAL
97,bybit,spot,KRL/USDT,USDT,KRL
98,bybit,spot,DEVT/USDT,USDT,DEVT
99,bybit,spot,CRAFT/USDT,USDT,CRAFT
100,bybit,spot,BIT/BTC,BTC,BIT
101,bybit,spot,BIT/USDC,USDC,BIT
102,bybit,spot,ETH/USDC,USDC,ETH
103,bybit,spot,BTC/USDC,USDC,BTC
104,bybit,spot,1SOL/USDT,USDT,1SOL
105,bybit,spot,PLT/USDT,USDT,PLT
106,bybit,spot,IZI/USDT,USDT,IZI
107,bybit,spot,QTUM/USDT,USDT,QTUM
108,bybit,spot,DCR/USDT,USDT,DCR
109,bybit,spot,ZEN/USDT,USDT,ZEN
110,bybit,spot,THETA/USDT,USDT,THETA
111,bybit,spot,MX/USDT,USDT,MX
112,bybit,spot,DGB/USDT,USDT,DGB
113,bybit,spot,RVN/USDT,USDT,RVN
114,bybit,spot,EGLD/USDT,USDT,EGLD
115,bybit,spot,RUNE/USDT,USDT,RUNE
116,bybit,spot,XLM/BTC,BTC,XLM
117,bybit,spot,XLM/USDC,USDC,XLM
118,bybit,spot,SOL/USDC,USDC,SOL
119,bybit,spot,XRP/USDC,USDC,XRP
120,bybit,spot,ALGO/BTC,BTC,ALGO
121,bybit,spot,SOL/BTC,BTC,SOL
122,bybit,spot,DFL/USDT,USDT,DFL
123,bybit,spot,RAIN/USDT,USDT,RAIN
124,bybit,spot,XEC/USDT,USDT,XEC
125,bybit,spot,ICX/USDT,USDT,ICX
126,bybit,spot,XDC/USDT,USDT,XDC
127,bybit,spot,HNT/USDT,USDT,HNT
128,bybit,spot,BTG/USDT,USDT,BTG
129,bybit,spot,ZIL/USDT,USDT,ZIL
130,bybit,spot,HBAR/USDT,USDT,HBAR
131,bybit,spot,FLOW/USDT,USDT,FLOW
132,bybit,spot,SOS/USDT,USDT,SOS
133,bybit,spot,KASTA/USDT,USDT,KASTA
134,bybit,spot,GASDAO/USDT,USDT,GASDAO
135,bybit,spot,STX/USDT,USDT,STX
136,bybit,spot,SIDUS/USDT,USDT,SIDUS
137,bybit,spot,VPAD/USDT,USDT,VPAD
138,bybit,spot,GGM/USDT,USDT,GGM
139,bybit,spot,LOOKS/USDT,USDT,LOOKS
140,bybit,spot,MBS/USDT,USDT,MBS
141,bybit,spot,DAI/USDT,USDT,DAI
142,bybit,spot,BUSD/USDT,USDT,BUSD
143,bybit,spot,ACA/USDT,USDT,ACA
144,bybit,spot,MV/USDT,USDT,MV
145,bybit,spot,MIX/USDT,USDT,MIX
146,bybit,spot,LTC/USDC,USDC,LTC
147,bybit,spot,MANA/BTC,BTC,MANA
148,bybit,spot,MATIC/BTC,BTC,MATIC
149,bybit,spot,LTC/BTC,BTC,LTC
