,ex_name,market,ticker,quote,base_asset
0,dydx,PERPETUAL,CELO-USD,USD,CELO
1,dydx,PERPETUAL,LINK-USD,USD,LINK
2,dydx,PERPETUAL,DOGE-USD,USD,DOGE
3,dydx,PERPETUAL,1INCH-USD,USD,1INCH
4,dydx,PERPETUAL,XMR-USD,USD,XMR
5,dydx,PERPETUAL,FIL-USD,USD,FIL
6,dydx,PERPETUAL,ETH-USD,USD,ETH
7,dydx,PERPETUAL,AAVE-USD,USD,AAVE
8,dydx,PERPETUAL,ATOM-USD,USD,ATOM
9,dydx,PERPETUAL,MKR-USD,USD,MKR
10,dydx,PERPETUAL,EOS-USD,USD,EOS
11,dydx,PERPETUAL,COMP-USD,USD,COMP
12,dydx,PERPETUAL,ALGO-USD,USD,ALGO
13,dydx,PERPETUAL,XTZ-USD,USD,XTZ
14,dydx,PERPETUAL,UNI-USD,USD,UNI
15,dydx,PERPETUAL,ADA-USD,USD,ADA
16,dydx,PERPETUAL,ZRX-USD,USD,ZRX
17,dydx,PERPETUAL,YFI-USD,USD,YFI
18,dydx,PERPETUAL,MATIC-USD,USD,MATIC
19,dydx,PERPETUAL,ETC-USD,USD,ETC
20,dydx,PERPETUAL,AVAX-USD,USD,AVAX
21,dydx,PERPETUAL,LTC-USD,USD,LTC
22,dydx,PERPETUAL,ENJ-USD,USD,ENJ
23,dydx,PERPETUAL,DOT-USD,USD,DOT
24,dydx,PERPETUAL,SNX-USD,USD,SNX
25,dydx,PERPETUAL,RUNE-USD,USD,RUNE
26,dydx,PERPETUAL,XLM-USD,USD,XLM
27,dydx,PERPETUAL,BCH-USD,USD,BCH
28,dydx,PERPETUAL,TRX-USD,USD,TRX
29,dydx,PERPETUAL,BTC-USD,USD,BTC
30,dydx,PERPETUAL,UMA-USD,USD,UMA
31,dydx,PERPETUAL,NEAR-USD,USD,NEAR
32,dydx,PERPETUAL,ZEC-USD,USD,ZEC
33,dydx,PERPETUAL,SOL-USD,USD,SOL
34,dydx,PERPETUAL,SUSHI-USD,USD,SUSHI
35,dydx,PERPETUAL,ICP-USD,USD,ICP
36,dydx,PERPETUAL,CRV-USD,USD,CRV
