,ex_name,symbol,ave_price
0,okx,BCD/BTC,8.715e-06
1,okx,MDT/USDT,0.06128
2,okx,LUNA/USDC,1.72455
3,okx,ORS/USDT,0.0029950000000000003
4,okx,OAS/USDT,0.09791949999999999
5,okx,LINK/BTC,0.000319
6,okx,KNC/USDT,0.90545
7,okx,NEO/BTC,0.000535
8,okx,NULS/BTC,1.2074999999999999e-05
9,okx,DAI/USDT,0.99995
10,okx,LUNA/USDT,1.7244
11,okx,XNO/USDT,0.912
12,okx,KNC/USDC,0.9058999999999999
13,okx,OAS/USDC,0.09791449999999999
14,okx,ATOM/ETH,0.0080385
15,okx,CVX/USDT,5.76
16,okx,AGLD/USDT,0.5927
17,okx,BTG/BTC,0.00074
18,okx,IOST/ETH,7.145e-06
19,okx,CRV/BTC,4.325e-05
20,okx,LSK/USDT,1.1885
21,okx,XNO/USDC,0.912
22,okx,IOTA/USDT,0.2505
23,okx,MITH/BTC,1.605e-07
24,okx,AGLD/USDC,0.5928
25,okx,XRP/USDC,0.37773
26,okx,CRO/BTC,3.415e-06
27,okx,SWFTC/ETH,8.36e-07
28,okx,APM/USDT,0.0189
29,okx,AAVE/ETH,0.0504
30,okx,QTUM/USDT,3.3685
31,okx,TAMA/BTC,7.33e-07
32,okx,TAMA/USDC,0.016998
33,okx,INT/BTC,1.4849999999999999e-07
34,okx,CSPR/USDT,0.03829
35,okx,ELON/USDT,4.1695e-07
36,okx,XEC/USDT,3.4875e-05
37,okx,CEL/BTC,2.1585e-05
38,okx,JST/USDC,0.029949999999999997
39,okx,AXS/USDT,9.855
40,okx,YFII/USDC,1339.4
41,okx,XRP/ETH,0.0002345
42,okx,APIX/USDT,0.006005
43,okx,ELF/BTC,1.212e-05
44,okx,KLAY/USDC,0.308
45,okx,BCH/USDC,135.51
46,okx,PNK/USDT,0.0265
47,okx,VELO/USDT,0.012244999999999999
48,okx,OKDOT1/DOT,0.8088
49,okx,SC/BTC,1.825e-07
50,okx,ETC/USDT,21.235500000000002
51,okx,YFI/BTC,0.417
52,okx,WING/USDT,7.885
53,okx,ASTR/USDT,0.07885
54,okx,TAMA/USDT,0.016991
55,okx,WBTC/ETH,14.465
56,okx,MANA/BTC,2.816e-05
57,okx,CTXC/USDT,0.26695
58,okx,BCH/USDT,135.495
59,okx,AXS/USDC,9.86
60,okx,CELO/USDC,0.7835000000000001
61,okx,ETC/USDC,21.240499999999997
62,okx,ASTR/USDC,0.07885
63,okx,VSYS/USDT,0.0029579999999999997
64,okx,ETH/DAI,1609.34
65,okx,SWRV/USDT,0.15685
66,okx,SAND/USDC,0.7119
67,okx,MON/USDT,0.001851
68,okx,FRONT/USDT,0.2489
69,okx,APT/USDT,12.50635
70,okx,GAS/USDT,3.5164999999999997
71,okx,TRX/USDT,0.069355
72,okx,CELR/USDT,0.02058
73,okx,CELO/USDT,0.7835000000000001
74,okx,CSPR/USDC,0.03826
75,okx,ENJ/BTC,2.0535e-05
76,okx,KONO/USDT,0.0276
77,okx,EC/USDT,0.000375
78,okx,SAND/USDT,0.71165
79,okx,LAT/USDT,0.02314
80,okx,APT/USDC,12.51455
81,okx,T/USDT,0.039349999999999996
82,okx,KLAY/USDT,0.3079
83,okx,API3/USDC,1.5695000000000001
84,okx,SUN/USDT,0.007195
85,okx,CVT/USDT,0.0016225
86,okx,KLAY/BTC,1.3245e-05
87,okx,CRO/USDT,0.07944999999999999
88,okx,RAY/USDT,0.2815
89,okx,FLM/USDT,0.113
90,okx,CTC/BTC,2.214e-05
91,okx,ETC/ETH,0.0132
92,okx,XMR/ETH,0.093075
93,okx,SOL/USDT,22.853
94,okx,API3/USDT,1.5695000000000001
95,okx,RVN/BTC,1.367e-06
96,okx,YFI/USDT,9693.0
97,okx,SWFTC/USDT,0.0013425
98,okx,YFI/ETH,6.025
99,okx,FLM/USDC,0.11235
100,okx,DEVT/USDT,0.012565
101,okx,CRO/USDC,0.07955000000000001
102,okx,PEOPLE/BTC,1.1307e-06
